Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Atlanta Flames,19761977,80,34,34,12,--,80,0.5,34,34,0,264,265,3.3,3.31,--,--,--,--,31.2,27.7,--
Toronto Maple Leafs,19711972,78,33,31,14,--,80,0.513,33,33,0,209,208,2.68,2.67,--,--,--,--,32.3,30.8,--
Winnipeg Jets (1979),19811982,80,33,33,14,--,80,0.5,33,33,0,319,332,3.99,4.15,22.6,75.5,19.2,77.1,32.9,32.5,--
Chicago Blackhawks,19671968,74,32,26,16,--,80,0.541,32,32,0,212,222,2.86,3,--,--,--,--,30,31.1,--
St. Louis Blues,19951996,82,32,34,16,--,80,0.488,31,32,0,219,248,2.67,3.02,16.5,83,14.7,85.3,31.1,29.8,--
San Jose Sharks,19981999,82,31,33,18,--,80,0.488,30,31,0,196,191,2.39,2.33,13.3,85,12.3,87,26.1,27,47.4
New York Rangers,20192020,70,37,28,--,5,79,0.564,31,36,1,233,220,3.33,3.14,22.9,77.4,20.3,80.9,31.1,34,46.6
Florida Panthers,20202021,56,37,14,--,5,79,0.705,26,36,1,188,151,3.36,2.7,20.5,79.8,18.4,82.1,34.9,30,50.2
Hartford Whalers,19881989,80,37,38,5,--,79,0.494,36,37,0,299,290,3.74,3.63,20.8,81.4,16.5,82.2,30.7,29.1,--
Calgary Flames,20192020,70,36,27,--,7,79,0.564,25,30,6,204,214,2.91,3.06,21.2,82.1,16.6,85.2,31.6,32.4,49.1
Phoenix Coyotes,20082009,82,36,39,--,7,79,0.482,32,33,3,205,249,2.5,3.04,14.5,76.8,13.4,78.5,28.1,31.6,44.8
New York Islanders,20072008,82,35,38,--,9,79,0.482,25,30,5,189,240,2.3,2.93,14.6,81.9,10,84.5,29.7,30.3,51.1
Toronto Maple Leafs,19591960,70,35,26,9,--,79,0.564,35,35,0,199,195,2.84,2.79,--,--,--,--,30.7,33.2,--
Edmonton Oilers,20182019,82,35,38,--,9,79,0.482,24,32,3,229,271,2.79,3.3,21.2,74.8,18,78.9,29.2,31.7,48.4
New York Islanders,20092010,82,34,37,--,11,79,0.482,20,26,8,214,258,2.61,3.15,16,76.3,15,78.7,30.4,31.9,48.2
New York Islanders,20112012,82,34,37,--,11,79,0.482,24,27,7,196,251,2.39,3.06,18.5,80.5,16.5,82.2,29.4,30.1,48
New York Islanders,19911992,80,34,35,11,--,79,0.494,31,34,0,291,299,3.64,3.74,22.1,76.5,19.8,79.4,27.8,32.9,--
New York Islanders,20132014,82,34,37,--,11,79,0.482,21,25,9,216,261,2.63,3.18,17.8,78.1,15.2,81.1,30.9,30,47.2
New York Rangers,19921993,84,34,39,11,--,79,0.47,32,34,0,304,308,3.62,3.67,18.3,81.2,14.1,83.9,33.3,33.7,--
Toronto Maple Leafs,19651966,70,34,25,11,--,79,0.564,34,34,0,208,187,2.97,2.67,--,--,--,--,33.2,32.6,--
Calgary Flames,19951996,82,34,37,11,--,79,0.482,32,34,0,241,240,2.94,2.93,18.4,80.1,16.1,82.8,30.1,27.1,--
Dallas Stars,20162017,82,34,37,--,11,79,0.482,28,33,1,222,260,2.71,3.17,17.9,73.9,13.6,75.9,30.5,29.7,49.9
Los Angeles Kings,20082009,82,34,37,--,11,79,0.482,26,29,5,202,226,2.46,2.76,19.2,82.9,16.9,84,29.1,28.1,52
Detroit Red Wings,20162017,82,33,36,--,13,79,0.482,17,24,9,198,244,2.41,2.98,15.1,80.9,11.5,82.1,28.5,30.6,51.9
St. Louis Blues,20072008,82,33,36,--,13,79,0.482,29,30,3,202,232,2.46,2.83,14.1,84.4,10.2,85.2,26.1,27.4,51.8
New Jersey Devils,19901991,80,32,33,15,--,79,0.494,31,32,0,272,264,3.4,3.3,19.9,79.7,16.1,81.7,31.2,28,--
St. Louis Blues,19861987,80,32,33,15,--,79,0.494,28,32,0,281,293,3.51,3.66,24.6,81.4,20.9,83.3,29.3,29.6,--
Calgary Flames,20012002,82,32,35,12,3,79,0.482,30,32,0,201,220,2.45,2.68,15.1,81.5,13.7,84.3,26.9,27.3,52.5
Vancouver Canucks,19951996,82,32,35,15,--,79,0.482,31,32,0,278,278,3.39,3.39,16.8,81.3,13.6,85.7,30.1,30.2,--
Columbus Blue Jackets,20092010,82,32,35,--,15,79,0.482,27,30,2,214,249,2.61,3.04,18.2,81.7,15.3,83.5,28.5,30.7,51
Chicago Blackhawks,20022003,82,30,33,13,6,79,0.482,26,30,0,207,226,2.52,2.76,12.7,84.8,10.1,87,27.8,28.6,50.1
Montréal Canadiens,19621963,70,28,19,23,--,79,0.564,28,28,0,225,183,3.21,2.61,--,--,--,--,34.8,28.5,--
Ottawa Senators,20232024,82,37,41,--,4,78,0.476,25,32,5,250,281,3.05,3.43,18,75.1,15.9,78,31.7,29.7,51
New York Islanders,20052006,82,36,40,--,6,78,0.476,24,27,9,221,275,2.7,3.35,16.9,79.2,13.6,80.3,30.3,31.1,48.7
New York Rangers,19851986,80,36,38,6,--,78,0.488,36,36,0,280,276,3.5,3.45,20.1,77.8,19,80.2,31.8,30,--
Washington Capitals,19891990,80,36,38,6,--,78,0.488,34,36,0,284,275,3.55,3.44,17,80.8,13.4,83.2,30.3,29.1,--
Edmonton Oilers,20172018,82,36,40,--,6,78,0.476,24,31,5,229,262,2.79,3.2,14.8,76.7,12.4,81.2,33.4,32.1,48.7
Vancouver Canucks,20192020,69,36,27,--,6,78,0.565,27,32,4,224,214,3.25,3.1,24.2,80.5,22.5,82.8,31.2,33.3,54
Winnipeg Jets (1979),19951996,82,36,40,6,--,78,0.476,34,36,0,275,291,3.35,3.55,19.7,79.5,16.8,81.9,29.4,33.7,--
Florida Panthers,20192020,69,35,26,--,8,78,0.565,30,32,3,228,224,3.3,3.25,21.3,78.5,19,80.7,32.7,32.3,50.3
Nashville Predators,20192020,69,35,26,--,8,78,0.565,28,32,3,212,214,3.07,3.1,17.3,76.1,13.7,78.9,33.1,31.3,52.3
Anaheim Ducks,19951996,82,35,39,8,--,78,0.476,29,35,0,234,247,2.85,3.01,14.1,80.9,12.9,83.2,28.7,32.2,--
Winnipeg Jets,20152016,82,35,39,--,8,78,0.476,29,32,3,212,236,2.59,2.88,14.8,78.4,13.2,81.9,29.6,29.5,46.7
Arizona Coyotes,20152016,82,35,39,--,8,78,0.476,29,34,1,208,244,2.54,2.98,17.7,77.3,13,78.6,27.6,31,54.7
Montréal Canadiens,19461947,60,34,16,10,--,78,0.65,34,34,0,189,138,3.15,2.3,--,--,--,--,--,--,--
Montréal Canadiens,19511952,70,34,26,10,--,78,0.557,34,34,0,195,164,2.79,2.34,--,--,--,--,--,--,--
Detroit Red Wings,19861987,80,34,36,10,--,78,0.488,32,34,0,260,274,3.25,3.43,20.5,78.6,18.4,81.2,27.2,28.8,--
San Jose Sharks,19971998,82,34,38,10,--,78,0.476,34,34,0,210,216,2.56,2.63,13.5,85.2,12.3,87.7,26.5,24.6,49.5
Buffalo Sabres,20162017,82,33,37,--,12,78,0.476,25,31,2,199,231,2.43,2.82,24.5,77.6,22.8,78.9,30.4,34.3,49.6
Toronto Maple Leafs,19631964,70,33,25,12,--,78,0.557,33,33,0,192,172,2.74,2.46,--,--,--,--,32.1,30.8,--
Atlanta Thrashers,20032004,82,33,37,8,4,78,0.476,27,33,0,214,243,2.61,2.96,14.7,85.2,13,88,26.1,29.4,46.7
Chicago Blackhawks,19992000,82,33,37,10,2,78,0.476,28,33,0,242,245,2.95,2.99,16,83.7,12,86.5,25.7,29.2,47.5
Detroit Red Wings,19681969,76,33,31,12,--,78,0.513,33,33,0,239,221,3.14,2.91,--,--,--,--,32.8,30.7,--
St. Louis Blues,19881989,80,33,35,12,--,78,0.488,30,33,0,275,285,3.44,3.56,20.3,76.7,17,78.1,29.1,28.1,--
Edmonton Oilers,19981999,82,33,37,12,--,78,0.476,30,33,0,230,226,2.8,2.76,14.4,82.1,12.1,84.2,29.2,27.1,48.5
Los Angeles Kings,19731974,78,33,33,12,--,78,0.5,33,33,0,233,231,2.99,2.96,--,--,--,--,29,29.1,--
Los Angeles Kings,20022003,82,33,37,6,6,78,0.476,27,33,0,203,221,2.48,2.7,14.7,83.3,13.5,85.5,27.7,26.1,49
New Jersey Devils,20142015,82,32,36,--,14,78,0.476,26,27,5,176,209,2.15,2.55,19.3,80.6,15.6,83.2,24.5,30.7,47.3
New York Rangers,20182019,82,32,36,--,14,78,0.476,23,26,6,221,267,2.7,3.26,19.4,78.2,17.6,80.8,29.2,33.8,46.9
New York Rangers,20022003,82,32,36,10,4,78,0.476,26,32,0,210,231,2.56,2.82,16.2,81.2,13.9,83.3,30.1,29.6,53.3
Toronto Maple Leafs,19531954,70,32,24,14,--,78,0.557,32,32,0,152,131,2.17,1.87,--,--,--,--,--,--,--
Detroit Red Wings,19771978,80,32,34,14,--,78,0.488,32,32,0,252,266,3.15,3.33,20.8,78.1,18.3,82.2,28.4,28.4,--
Calgary Flames,19821983,80,32,34,14,--,78,0.488,32,32,0,321,317,4.01,3.96,23.8,77.1,21.6,79.8,28.6,33.1,--
Montréal Canadiens,20112012,82,31,35,--,16,78,0.476,24,26,5,207,214,2.52,2.61,14.3,88.6,11.6,91.8,28.5,29.7,48.3
Toronto Maple Leafs,19741975,80,31,33,16,--,78,0.488,31,31,0,280,309,3.5,3.86,--,--,--,--,34.2,32,--
Chicago Blackhawks,19801981,80,31,33,16,--,78,0.488,31,31,0,304,315,3.8,3.94,22.3,75.1,18.9,77.3,32.1,33.8,--
Phoenix Coyotes,20022003,82,31,35,11,5,78,0.476,27,31,0,204,230,2.49,2.8,14.3,81.3,11.4,82.3,28,30,46.6
Florida Panthers,19981999,82,30,34,18,--,78,0.476,29,30,0,210,228,2.56,2.78,13.4,81.9,10.5,84.6,28.1,28.7,44.9
Quebec Nordiques,19801981,80,30,32,18,--,78,0.488,30,30,0,314,318,3.93,3.98,23.8,76.3,20.8,78.4,28.6,30.3,--
Boston Bruins,19291930,44,38,5,1,--,77,0.875,36,38,0,179,98,4.07,2.23,--,--,--,--,--,--,--
Pittsburgh Penguins,20202021,56,37,16,--,3,77,0.688,29,34,3,193,155,3.45,2.77,23.7,77.4,21.1,81.3,30.1,30,49.3
Washington Capitals,20202021,56,36,15,--,5,77,0.688,29,33,3,188,161,3.36,2.88,24.8,84,19.6,85.2,29.4,28.8,49.2
Chicago Blackhawks,20122013,48,36,7,--,5,77,0.802,25,30,6,149,97,3.1,2.02,16.7,87.2,13.3,90.8,31.1,26.2,50.8
Arizona Coyotes,20232024,82,36,41,--,5,77,0.47,28,34,2,254,274,3.1,3.34,22,76.3,19.1,79,27.7,31.7,45.1
Toronto Maple Leafs,20202021,56,35,14,--,7,77,0.688,29,34,1,186,148,3.32,2.64,20,78.5,15.5,80.6,31.3,27.8,51.1
Calgary Flames,20152016,82,35,40,--,7,77,0.47,24,33,2,229,257,2.79,3.13,17,75.5,14.4,79.8,29.2,29,48.6
Calgary Flames,20132014,82,35,40,--,7,77,0.47,21,28,7,202,238,2.46,2.9,15.7,81.7,12.9,86.8,26.8,28.6,46.2
Vancouver Canucks,19961997,82,35,40,7,--,77,0.47,30,35,0,257,273,3.13,3.33,16.8,80.8,14.2,84.3,28.1,30.2,--
Minnesota Wild,20192020,69,35,27,--,7,77,0.558,30,33,2,218,217,3.16,3.14,21.3,77.2,18.5,78.6,30.1,30.7,48.4
Hartford Whalers,19871988,80,35,38,7,--,77,0.481,32,35,0,249,267,3.11,3.34,17.6,84.3,14.1,86.4,31.5,27.3,--
New York Rangers,20172018,82,34,39,--,9,77,0.47,24,31,3,228,263,2.78,3.21,21.2,81.4,19.1,83.4,31,35.3,49.3
Chicago Blackhawks,19681969,76,34,33,9,--,77,0.507,34,34,0,280,246,3.68,3.24,--,--,--,--,33.9,34,--
Hartford Whalers,19951996,82,34,39,9,--,77,0.47,32,34,0,237,259,2.89,3.16,18,80.7,15.6,82.5,30.4,33.7,--
New York Rangers,19981999,82,33,38,11,--,77,0.47,28,33,0,217,227,2.65,2.77,20.4,85.7,17.8,87.8,25.4,30.2,49
Winnipeg Jets (1979),19871988,80,33,36,11,--,77,0.481,25,33,0,292,310,3.65,3.88,25.5,78.8,21.5,81.3,31.4,29.8,--
New York Rangers,19571958,70,32,25,13,--,77,0.55,32,32,0,195,188,2.79,2.69,--,--,--,--,--,--,--
Montréal Canadiens,19661967,70,32,25,13,--,77,0.55,32,32,0,202,188,2.89,2.69,--,--,--,--,31.8,29.3,--
Toronto Maple Leafs,19471948,60,32,15,13,--,77,0.642,32,32,0,182,143,3.03,2.38,--,--,--,--,--,--,--
Florida Panthers,20092010,82,32,37,--,13,77,0.47,24,26,6,202,234,2.46,2.85,14.2,79.4,11.7,81.9,28.4,34.1,49.9
Detroit Red Wings,19621963,70,32,25,13,--,77,0.55,32,32,0,200,194,2.86,2.77,--,--,--,--,35.1,29.3,--
San Jose Sharks,20212022,82,32,37,--,13,77,0.47,22,29,3,211,261,2.57,3.18,19,85.2,13.9,87,29.3,32,49.6
Montréal Canadiens,19961997,82,31,36,15,--,77,0.47,29,31,0,249,276,3.04,3.37,15.7,79.5,12.5,82.4,30.2,33.9,--
Ottawa Senators,19961997,82,31,36,15,--,77,0.47,31,31,0,226,234,2.76,2.85,16.7,81.9,13.1,85.3,29.2,25.8,--
Calgary Flames,19992000,82,31,36,10,5,77,0.47,20,31,0,211,256,2.57,3.12,17.9,79.7,15.5,80.8,30.1,29,49.2
Los Angeles Kings,19771978,80,31,34,15,--,77,0.481,31,31,0,243,245,3.04,3.06,19.5,80,17.1,81.3,31.5,26.9,--
Montréal Canadiens,20022003,82,30,35,8,9,77,0.47,28,30,0,206,234,2.51,2.85,14,81.7,12.1,82.3,25.8,32.7,52.7
Vancouver Canucks,19811982,80,30,33,17,--,77,0.481,30,30,0,290,286,3.63,3.58,19,78.6,16,81.1,30.7,30.3,--
Montréal Canadiens,19491950,70,29,22,19,--,77,0.55,29,29,0,172,150,2.46,2.14,--,--,--,--,--,--,--
Minnesota North Stars,19891990,80,36,40,4,--,76,0.475,33,36,0,284,291,3.55,3.64,21,81.4,16.8,84.9,32.1,30.3,--
Boston Bruins,20062007,82,35,41,--,6,76,0.463,22,26,9,210,285,2.56,3.48,17.2,81.7,12.9,83.5,28.9,33.5,48.3
Atlanta Thrashers,20082009,82,35,41,--,6,76,0.463,24,28,7,250,279,3.05,3.4,19.3,76,16.5,79.5,28.1,32.7,51.2
New York Rangers,19861987,80,34,38,8,--,76,0.475,29,34,0,307,323,3.84,4.04,19.9,81.1,15.9,84.3,30.9,32,--
Pittsburgh Penguins,19851986,80,34,38,8,--,76,0.475,31,34,0,313,305,3.91,3.81,22.5,77,18.4,80.5,30.2,31.1,--
Atlanta Thrashers,20072008,82,34,40,--,8,76,0.463,19,25,9,207,266,2.52,3.24,16.5,78.8,13.3,82.5,25.8,33.9,51.8
Chicago Blackhawks,19641965,70,34,28,8,--,76,0.543,34,34,0,224,176,3.2,2.51,--,--,--,--,30,31.2,--
Detroit Red Wings,19901991,80,34,38,8,--,76,0.475,32,34,0,273,298,3.41,3.73,16.4,77.7,15,82,28.9,29.4,--
St. Louis Blues,19871988,80,34,38,8,--,76,0.475,32,34,0,278,294,3.48,3.68,19.9,79.1,18.6,82.3,28.6,30.3,--
Columbus Blue Jackets,20152016,82,34,40,--,8,76,0.463,26,28,6,213,248,2.6,3.02,17.3,81,14.1,82.1,29.1,31.1,49
Quebec Nordiques,19931994,84,34,42,8,--,76,0.452,34,34,0,277,292,3.3,3.48,15.6,79.6,11.4,81.9,28.6,30.6,--
Philadelphia Flyers,19901991,80,33,37,10,--,76,0.475,32,33,0,252,267,3.15,3.34,20.1,80.9,15.4,81.4,28.6,28.7,--
Buffalo Sabres,20182019,82,33,39,--,10,76,0.463,21,28,5,221,268,2.7,3.27,19.5,80.9,15.7,82.3,32.9,33,47.9
Toronto Maple Leafs,19671968,74,33,31,10,--,76,0.514,33,33,0,209,176,2.82,2.38,--,--,--,--,32.9,34.8,--
Chicago Blackhawks,20172018,82,33,39,--,10,76,0.463,26,32,1,228,254,2.78,3.1,16,79.2,13.4,81.3,34.1,32.9,49.3
Detroit Red Wings,19711972,78,33,35,10,--,76,0.487,33,33,0,261,262,3.35,3.36,--,--,--,--,31,30.3,--
Buffalo Sabres,19731974,78,32,34,12,--,76,0.487,32,32,0,242,250,3.1,3.21,--,--,--,--,31.2,28.7,--
St. Louis Blues,19721973,78,32,34,12,--,76,0.487,32,32,0,233,251,2.99,3.22,--,--,--,--,34.1,29.9,--
Anaheim Ducks,20212022,82,31,37,--,14,76,0.463,22,27,4,228,266,2.78,3.24,21.9,80.8,20.1,83.5,29.2,33.2,48.2
Montréal Canadiens,20232024,82,30,36,--,16,76,0.463,20,26,4,232,281,2.83,3.43,17.5,76.5,12.7,79,27.7,33.4,51.5
Detroit Red Wings,19551956,70,30,24,16,--,76,0.543,30,30,0,183,148,2.61,2.11,--,--,--,--,--,--,--
Anaheim Ducks,20032004,82,29,35,10,8,76,0.463,25,29,0,184,213,2.24,2.6,18.1,84.7,16.8,86.1,29.7,29.8,55.3
Carolina Hurricanes,20032004,82,28,34,14,6,76,0.463,23,28,0,172,209,2.1,2.55,10.7,81.6,8.3,84.1,29.2,26.2,54.9
Vancouver Canucks,19801981,80,28,32,20,--,76,0.475,28,28,0,289,301,3.61,3.76,20.6,76,16.4,79.3,31.1,30.1,--
Tampa Bay Lightning,20202021,56,36,17,--,3,75,0.67,29,35,1,180,145,3.21,2.59,22.2,84.2,20.6,85.8,30.2,28.3,50.1
Montréal Canadiens,19831984,80,35,40,5,--,75,0.469,34,35,0,286,295,3.58,3.69,20.1,79.7,17.7,84.4,28.7,25.7,--
Toronto Maple Leafs,19791980,80,35,40,5,--,75,0.469,35,35,0,304,327,3.8,4.09,24.7,79.1,22.9,79.7,32.4,33.3,--
Minnesota Wild,20202021,56,35,16,--,5,75,0.67,27,34,1,180,159,3.21,2.84,17.6,80.8,15.8,82,28.3,30.4,46.5
Detroit Red Wings,19481949,60,34,19,7,--,75,0.625,34,34,0,195,145,3.25,2.42,--,--,--,--,--,--,--
Los Angeles Kings,19891990,80,34,39,7,--,75,0.469,31,34,0,338,337,4.23,4.21,22.2,76,18.1,79,29.7,31,--
Washington Capitals,19961997,82,33,40,9,--,75,0.457,31,33,0,214,231,2.61,2.82,15.8,84.8,12.7,87,28.9,26.4,--
Philadelphia Flyers,19911992,80,32,37,11,--,75,0.469,30,32,0,252,273,3.15,3.41,16.6,80.6,13.6,84.4,29.1,28.7,--
Buffalo Sabres,20212022,82,32,39,--,11,75,0.457,25,29,3,229,287,2.79,3.5,21.2,76.4,18.5,79.3,29.9,33,46
Montréal Canadiens,19981999,82,32,39,11,--,75,0.457,32,32,0,184,209,2.24,2.55,14.5,87.2,11.6,89.5,27.7,26.9,48.5
Toronto Maple Leafs,19661967,70,32,27,11,--,75,0.536,32,32,0,204,211,2.91,3.01,--,--,--,--,31.2,34.4,--
Hartford Whalers,19961997,82,32,39,11,--,75,0.457,29,32,0,226,256,2.76,3.12,18.1,84.6,14.6,88.3,29.7,31.5,--
Philadelphia Flyers,20222023,82,31,38,--,13,75,0.457,26,29,2,220,276,2.68,3.37,15.6,74.7,11.6,79.4,29.5,31.5,45.7
Pittsburgh Penguins,19811982,80,31,36,13,--,75,0.469,31,31,0,310,337,3.88,4.21,24.8,76.9,21.3,79,31.9,31.2,--
Chicago Blackhawks,19611962,70,31,26,13,--,75,0.536,31,31,0,217,186,3.1,2.66,--,--,--,--,30.8,30.5,--
Vancouver Canucks,20152016,82,31,38,--,13,75,0.457,22,26,5,186,239,2.27,2.91,15.8,81.1,12.6,82.7,28.2,32.5,45.4
Vancouver Canucks,19821983,80,30,35,15,--,75,0.469,30,30,0,303,309,3.79,3.86,27,80.3,23.4,82,30.1,30.8,--
Chicago Blackhawks,19601961,70,29,24,17,--,75,0.536,29,29,0,198,180,2.83,2.57,--,--,--,--,31.2,31.5,--
Calgary Flames,20022003,82,29,36,13,4,75,0.457,23,29,0,186,228,2.27,2.78,12.1,83.3,9.5,84.6,28.5,27.1,53.9
Calgary Flames,19811982,80,29,34,17,--,75,0.469,29,29,0,334,345,4.18,4.31,26.6,77.9,23.6,80.3,29.4,33.4,--
Montréal Canadiens,19521953,70,28,23,19,--,75,0.536,28,28,0,155,148,2.21,2.11,--,--,--,--,--,--,--
Florida Panthers,20032004,82,28,35,15,4,75,0.457,23,28,0,188,221,2.29,2.7,16.8,86.4,12.9,88.2,27.7,34.5,46.1
Boston Bruins,19381939,48,36,10,2,--,74,0.771,34,36,0,156,76,3.25,1.58,--,--,--,--,--,--,--
Columbus Blue Jackets,20052006,82,35,43,--,4,74,0.451,21,27,8,215,276,2.62,3.37,14.2,81.8,12.4,83.8,27.4,33.7,49.4
Carolina Hurricanes,19971998,82,33,41,8,--,74,0.451,31,33,0,200,219,2.44,2.67,13.2,85.2,10.6,87.2,26.5,27.6,49
Vancouver Canucks,19881989,80,33,39,8,--,74,0.463,31,33,0,251,253,3.14,3.16,19,80.5,15.6,82.8,30.5,28.3,--
Winnipeg Jets (1979),19821983,80,33,39,8,--,74,0.463,33,33,0,311,333,3.89,4.16,23,73.1,20.9,76.7,31.8,31.6,--
Arizona Coyotes,20192020,70,33,29,--,8,74,0.529,26,28,5,190,183,2.71,2.61,19.2,82.7,16.8,85.3,31.7,32.4,49.1
New York Rangers,19551956,70,32,28,10,--,74,0.529,32,32,0,204,203,2.91,2.9,--,--,--,--,--,--,--
Boston Bruins,19531954,70,32,28,10,--,74,0.529,32,32,0,177,181,2.53,2.59,--,--,--,--,--,--,--
Ottawa Senators,20102011,82,32,40,--,10,74,0.451,28,30,2,190,245,2.32,2.99,17.5,83.7,16,85.7,29,31.2,50.8
Tampa Bay Lightning,19961997,82,32,40,10,--,74,0.451,28,32,0,217,247,2.65,3.01,13.8,84.8,11.2,88.4,31.4,28.8,--
Detroit Red Wings,20182019,82,32,40,--,10,74,0.451,20,29,3,224,272,2.73,3.32,18.1,77.1,14.8,80,29.2,33.7,50.8
Detroit Red Wings,20212022,82,32,40,--,10,74,0.451,21,29,3,227,310,2.77,3.78,16.3,73.8,11.9,75.6,29.4,33.7,49.4
Edmonton Oilers,20112012,82,32,40,--,10,74,0.451,25,27,5,207,232,2.52,2.83,20.6,82.4,17.6,84.1,26.7,30.7,47.7
Buffalo Sabres,19911992,80,31,37,12,--,74,0.463,29,31,0,289,299,3.61,3.74,22.5,78.5,20.2,80.4,32.5,32.3,--
Toronto Maple Leafs,19491950,70,31,27,12,--,74,0.529,31,31,0,176,173,2.51,2.47,--,--,--,--,--,--,--
Atlanta Thrashers,20022003,82,31,39,7,5,74,0.451,24,31,0,226,284,2.76,3.46,17.3,81.7,13.5,83.9,26.4,31.6,45.9
Detroit Red Wings,19651966,70,31,27,12,--,74,0.529,31,31,0,221,194,3.16,2.77,--,--,--,--,32.4,28.8,--
Calgary Flames,19911992,80,31,37,12,--,74,0.463,29,31,0,296,305,3.7,3.81,21,78.1,18.6,80.2,30.9,30.9,--
New York Rangers,19801981,80,30,36,14,--,74,0.463,30,30,0,312,317,3.9,3.96,17.8,78.7,14.4,82.3,30.7,27.8,--
Toronto Maple Leafs,20092010,82,30,38,--,14,74,0.451,21,26,4,210,263,2.56,3.21,14,74.7,11.8,76,32.6,29.8,50.8
Toronto Maple Leafs,19641965,70,30,26,14,--,74,0.529,30,30,0,204,173,2.91,2.47,--,--,--,--,31.2,30.7,--
Los Angeles Kings,19791980,80,30,36,14,--,74,0.463,30,30,0,290,313,3.63,3.91,26.8,68.2,23.9,70.2,29,30.7,--
Atlanta Flames,19731974,78,30,34,14,--,74,0.474,30,30,0,214,238,2.74,3.05,--,--,--,--,30.5,30.4,--
Boston Bruins,20052006,82,29,37,--,16,74,0.451,23,27,2,228,258,2.78,3.15,14.8,83.7,12.4,85.6,30.6,32.1,52
Toronto Maple Leafs,19511952,70,29,25,16,--,74,0.529,29,29,0,168,157,2.4,2.24,--,--,--,--,--,--,--
Edmonton Oilers,19801981,80,29,35,16,--,74,0.463,29,29,0,328,327,4.1,4.09,22.2,75.4,20.2,79.2,29.8,29.5,--
Nashville Predators,20022003,82,27,35,13,7,74,0.451,22,27,0,183,206,2.23,2.51,13.9,82.7,12,83.3,28.2,27.5,48.5
Boston Bruins,20202021,56,33,16,--,7,73,0.652,25,29,4,164,134,2.93,2.39,21.9,86,18.1,91,33.3,27.1,55.3
Buffalo Sabres,19951996,82,33,42,7,--,73,0.445,31,33,0,247,262,3.01,3.2,15.9,84,13.4,86.1,28.5,35.5,--
Ottawa Senators,20212022,82,33,42,--,7,73,0.445,26,30,3,224,264,2.73,3.22,19.3,80.3,17.7,83.9,30,33.4,47.9
Columbus Blue Jackets,20062007,82,33,42,--,7,73,0.445,24,28,5,196,244,2.39,2.98,14.8,81.2,12.6,82.6,27.7,28.6,50.2
Pittsburgh Penguins,19721973,78,32,37,9,--,73,0.468,32,32,0,257,265,3.29,3.4,--,--,--,--,32.1,32.4,--
Boston Bruins,19581959,70,32,29,9,--,73,0.521,32,32,0,205,215,2.93,3.07,--,--,--,--,--,--,--
St. Louis Blues,19761977,80,32,39,9,--,73,0.456,32,32,0,239,276,2.99,3.45,--,--,--,--,30,27.4,--
Calgary Flames,19961997,82,32,41,9,--,73,0.445,29,32,0,214,239,2.61,2.91,16.9,83.2,11.6,86.4,31.4,28.5,--
Vancouver Canucks,19831984,80,32,39,9,--,73,0.456,29,32,0,306,328,3.83,4.1,24.7,76.4,21.7,77.6,31.2,29.4,--
New York Islanders,19891990,80,31,38,11,--,73,0.456,28,31,0,281,288,3.51,3.6,23.6,76.6,21.2,79.3,29.5,33.5,--
Philadelphia Flyers,19671968,74,31,32,11,--,73,0.493,31,31,0,173,179,2.34,2.42,--,--,--,--,25.4,33.2,--
Vancouver Canucks,20172018,82,31,40,--,11,73,0.445,25,31,0,218,259,2.66,3.16,21.5,78.3,17.4,80.8,30,32.2,49.5
Los Angeles Kings,19721973,78,31,36,11,--,73,0.468,31,31,0,232,245,2.97,3.14,--,--,--,--,29.1,28.8,--
Winnipeg Jets (1979),19831984,80,31,38,11,--,73,0.456,24,31,0,340,374,4.25,4.68,21.5,74.6,16.7,78.5,32.3,32.7,--
Hartford Whalers,19901991,80,31,38,11,--,73,0.456,29,31,0,238,276,2.98,3.45,18.1,80.5,15.9,81.8,28.9,27,--
New York Islanders,20102011,82,30,39,--,13,73,0.445,19,26,4,225,258,2.74,3.15,17.2,83.2,14.9,88.1,29.4,32,50.1
New York Rangers,19771978,80,30,37,13,--,73,0.456,30,30,0,279,280,3.49,3.5,28.8,80.3,26.6,84.4,28.1,31.4,--
Pittsburgh Penguins,19791980,80,30,37,13,--,73,0.456,30,30,0,251,303,3.14,3.79,19.8,74,18.3,76.4,30.7,29.9,--
Pittsburgh Penguins,19801981,80,30,37,13,--,73,0.456,30,30,0,302,345,3.78,4.31,23.1,73.4,20.3,75,32.6,30.7,--
Chicago Blackhawks,19971998,82,30,39,13,--,73,0.445,29,30,0,192,199,2.34,2.43,13,84.8,11.6,88.2,27.8,26.7,50.4
Detroit Red Wings,20172018,82,30,39,--,13,73,0.445,22,25,5,212,254,2.59,3.1,17.5,77.5,15.4,81,30.4,31.9,48.9
New York Rangers,19992000,82,29,38,12,3,73,0.445,23,29,0,218,246,2.66,3,16.9,83.2,14.2,84.9,29.5,29.8,53.1
Chicago Blackhawks,19781979,80,29,36,15,--,73,0.456,29,29,0,244,277,3.05,3.46,16.6,76.4,15,79.1,28.1,34.2,--
